TIPO;Família;Sub-Família;Segmento;Modelo Padrão;Modelo Comercial;Ano Fabricação Inicial;Ano Fabricação Final;Nivel de Emissões Inicial;Nivel de Emissões Final;TECNOLOGIA MOTOR;Motor;Motor Popular;Quantidade de Cilindros;Quantidade Lubrificante Motor;Epecificação Lubrificante Motor;LINHA;SUB LINHA;CÓDIGO LUBRIFICANTE MOTOR;Capacidade Sistema Arrefecimento;Caixa de Direção;Caixa de Marcha;Quantidade Lubrificante Caixa de Marcha;Epecificação Lubrificante Caixa de Marcha;Diferencial;Quantidade Lubrificante Diferencial;Epecificação Lubrificante Diferencial;TRAÇÃO
CAMINHÃO;Produzidos até 2005;;leve;6--80;6.80;1982;1986;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;Clark 280/282;5;SAE 90 GL-5;;;;
CAMINHÃO;Produzidos até 2005;;leve;6--90;6.90;1982;1986;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;Clark 280/282;5;SAE 90 GL-5;;;;
CAMINHÃO;Produzidos até 2005;S;leve;6--90;6.90S;1986;1987;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;FS 4005A ou Clark 280/282;5;SAE 50;;;;
CAMINHÃO;Produzidos até 2005;S;leve;7--90;7.90S;1987;1993;EURO 0;EURO 1;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;FS 4005A;5;SAE 50;;;;
CAMINHÃO;Produzidos até 2005;;leve;7-100;7.100;1994;fev/2000;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 4.10T;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;;;FSO 4305C;5;SAE 80W90 GL-4;DANA 411;5;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;leve;7-100;7.100;mar/2000;dez/2001;EURO 2;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 4.10T;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;;;FSO 4305C;5;SAE 80W90 GL-4;DANA 480;5;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;leve;7-110;7.110;set/2002;dez/2005;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 4.10T;MWM SÉRIE 10;4;9;15W40 CI-4;VW;SH;G052824Q2;;;FSO 4305C;5;SAE 80W90 GL-4;DANA 480;5;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;S;leve;7-110;7.110S;1987;1994;EURO 0;EURO 1;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;FS 4005A;5;SAE 50;;;;
CAMINHÃO;Produzidos até 2005;;leve;8-100;8.100;1997;fev/2000;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 4.10T;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;;;FSO 4305C;5;SAE 80W90 GL-4;DANA 411;5;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;leve;8-120;8.120;mar/2000;dez/2005;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 4.10T;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;;;FSO 4305C;5;SAE 80W90 GL-4;DANA 480;5;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;leve;8-140;8.140;1994;fev/2000;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 4.10T;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;;;FSO 4305C;5;SAE 80W90 GL-4;DANA 411;5;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;leve;8-150;8.150;mar/2000;dez/2005;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 4.10T;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;;;FSO 4305C;5;SAE 80W90 GL-4;DANA 480;5;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;E;leve;8-150;8.150 E;out/2003;dez/2005;EURO 2;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 4.0;ISB;4;9;15W40 CI-4;VW;SH;G052824Q2;;;FSO 4305C;5;SAE 80W90 GL-4;DANA 480;5;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;11-130;11.130;1981;1987;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;Clark 280/282;5;SAE 80W90 GL-4;HH-340/LL-345;14,1;SAE 140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;11-140;11.140;1988;1992;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;FS 4005A;5;SAE 50;;;;
CAMINHÃO;Produzidos até 2005;;Médios;11-160;11.160;1985;1986;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;FS 4005A;5;SAE 50;HH-340/LL-345;14,1;SAE 140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;12-140;12.140;1987;1991;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;FS 4005A;5;SAE 50;;;;
CAMINHÃO;Produzidos até 2005;H;Médios;12-140;12.140H;1994;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;MWM D229-6;MWM 229;6;13;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145;15,5;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;T;Médios;12-140;12.140T;1997;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 4.10T;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145;15,5;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;12-160;12.160;1987;1987;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;;;;;;;
CAMINHÃO;Produzidos até 2005;BT;Médios;12-170;12.170 BT;1997;fev/2000;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6BTAA;SÉRIE B;6;16,4;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;12-180;12.180;1999;fev/2000;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;18,7;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;13-130;13.130;1981;1987;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;Clark 280/282;5;SAE 80W90 GL-4;HH-340/LL-345;14,1;SAE 140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;13-150;13.150;mar/00;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 4.10T;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;13-170;13.170;mar/00;out/01;EURO 2;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6BTAA;SÉRIE B;6;16,4;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;E;Médios;13-170;13.170 E;mar/00;out/05;EURO 2;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 4.0;ISB;4;22,8;15W40 CI-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;13-180;13.180;mar/00;out/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;18,7;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;13-190;13.190;out/01;out/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6BTAA;SÉRIE B;6;16,4;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;14-140;14.140;1981;1991;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;FS 4005A;5;SAE 50;;;;
CAMINHÃO;Produzidos até 2005;;Médios;14-150;14.150;1994;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 6.10T;MWM SÉRIE 10;6;18,7;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;BT;Médios;14-170;14.170 BT;1994;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6BTAA;SÉRIE B;6;16,4;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;14-180;14.180;1999;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;18,7;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Médios;14-200;14.200;1991;1992;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;;;;;;;
CAMINHÃO;Produzidos até 2005;;Médios;14-210;14.210;1989;1991;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;;;;;;;
CAMINHÃO;Produzidos até 2005;;Médios;14-220;14.220;1994;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;23,8;15W40 CH-4;VW;SH;G052824Q2;;;FS 6306A;8,6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;15-170;15.170;mar/00;out/01;EURO 2;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6BTAA;SÉRIE B;6;16,4;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;E;Semi-Pesados;15-170;15.170 E;mar/03;out/05;EURO 2;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 4.0;ISB;4;22,8;15W40 CI-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;15-180;15.180;mar/00;out/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;18,7;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;15-190;15.190;out/01;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6BTAA;SÉRIE B;6;16,4;15W40 CH-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;BT;Semi-Pesados;16-170;16.170 BT;1994;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6BTAA;SÉRIE B;6;16,4;15W40 CH-4;VW;SH;G052824Q2;;;FS 5205A;5;SAE 50;RS 19-230;20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;16-200;16.200;1997;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6BTAA;SÉRIE B;6;16,4;15W40 CH-4;VW;SH;G052824Q2;;;FS 5306A;8,6;SAE 50;RS 23-240;20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;16-210;16.210;1988;1989;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;;;;;;;
CAMINHÃO;Produzidos até 2005;H;Semi-Pesados;16-210;16.210 H;1989;1991;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;;;;;;;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;16-220;16.220;1994;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;23,8;15W40 CH-4;VW;SH;G052824Q2;;;FS 6306A;8,6;SAE 50;RS 19-145/RS 19-230;15,5 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;16-300;16.300;1994;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;23,8;;VW;SH;G052824Q2;;;RT 8609A;7;SAE 50;RS 23-155;21;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;17-210;17.210;mar/00;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6BTAA;SÉRIE B;6;16,4;15W40 CH-4;VW;SH;G052824Q2;;;FS 5306A;8,6;SAE 50;RS 23-240;20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;17-210;17.210;mar/00;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;18,7;15W40 CH-4;VW;SH;G052824Q2;;;FS 5306A;8,6;SAE 50;RS 23-240;20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;17-220;17.220;mar/00;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;23,8;15W40 CH-4;VW;SH;G052824Q2;;;FS 6306A;8,6;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;17-250;17.250;out/03;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;INTERACT 6.0;ISB;6;35;15W40 CI-4;VW;SH;G052824Q2;;;FS 6306B;9,2;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;17-300;17.300;mar/00;out/01;EURO 2;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;23,8;15W40 CH-4;VW;SH;G052824Q2;;;RT 8609A;7;SAE 50;RS 23-155;21;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;17-310;17.310;out/01;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;23,8;15W40 CH-4;VW;SH;G052824Q2;;;RT 8609A;7;SAE 50;RS 23-155;21;85W140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;22-140;22.140;1987;1990;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;FS 4005A;5;SAE 50;145 / 147;14;SAE 140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;22-160;22.160;1985;1987;EURO 0;EURO 0;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;FS 4005A;5;SAE 50;145 / 147;14;SAE 140 GL-5;
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;23-210;23.210;jan/02;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6BTAA;SÉRIE B;6;16,4;15W40 CH-4;VW;SH;G052824Q2;;;FS 5306A;8,6;SAE 50;RS 23-240;20;85W140 GL-5;
